action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,name
,,18479571,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL113142,ZM-241385,CHEMBL113142,5.97,0,http://www.openphacts.org/units/Nanomolar,3066998,=,1,1,=,,IC50,nM,,1066.6,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,1066.6,C16H15N7O2
,,18479576,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C=CCSc1nsc(NC(=O)Nc2ccc(F)cc2F)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4212468,,CHEMBL4212468,5.35,0,http://www.openphacts.org/units/Nanomolar,3066999,=,1,1,=,,IC50,nM,,4477.1,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,4477.1,C12H10F2N4OS2
,,18479581,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C=CCSc1nsc(NC(=O)Nc2cccc(C(C)=O)c2)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL1531435,,CHEMBL1531435,6.79,0,http://www.openphacts.org/units/Nanomolar,3066987,=,1,1,=,,IC50,nM,,160.3,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,160.3,C14H14N4O2S2
,,18479587,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C=CCSc1nsc(NC(=O)Nc2ccc(Cl)cc2)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4207559,,CHEMBL4207559,9.72,0,http://www.openphacts.org/units/Nanomolar,3067000,=,1,1,=,,IC50,nM,,0.1892,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,pM,UO_0000065,,189.2,C12H11ClN4OS2
,,18479592,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C=CCSc1nsc(NC(=O)Nc2ccc(Cl)cc2C(F)(F)F)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4214443,,CHEMBL4214443,9.50,0,http://www.openphacts.org/units/Nanomolar,3067001,=,1,1,=,,IC50,nM,,0.3177,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,pM,UO_0000065,,317.7,C13H10ClF3N4OS2
,,18479597,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,O=C(Nc1nc(SCCOc2ccccc2)ns1)Nc1ccc(F)cc1F,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4202786,,CHEMBL4202786,5.31,0,http://www.openphacts.org/units/Nanomolar,3067002,=,1,1,=,,IC50,nM,,4943.1,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,4943.1,C17H14F2N4O2S2
,,18479602,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C#CCSc1nsc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4212750,,CHEMBL4212750,7.57,0,http://www.openphacts.org/units/Nanomolar,3067003,=,1,1,=,,IC50,nM,,26.9,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,26.9,C13H8ClF3N4OS2
,,18479607,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,C#CCSc1nsc(NC(=O)Nc2ccccc2Cl)n1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4207134,,CHEMBL4207134,5.78,0,http://www.openphacts.org/units/Nanomolar,3067004,=,1,1,=,,IC50,nM,,1678.8,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,1678.8,C12H9ClN4OS2
,,18479612,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc(C2CNC(=O)NC2)cc1O[C@@H]1C[C@H]2CC[C@H]1C2,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4208511,,CHEMBL4208511,6.74,0,http://www.openphacts.org/units/Nanomolar,3066992,=,1,1,=,,IC50,nM,,182.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,182.0,C18H24N2O3
,,18808317,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCN)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4292381,,CHEMBL4292381,,0,http://www.openphacts.org/units/Nanomolar,3125061,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C23H32ClN7O3
,,18808318,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCN)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4281760,,CHEMBL4281760,,0,http://www.openphacts.org/units/Nanomolar,3125060,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C23H32FN7O3
,,18808319,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCO)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4290889,,CHEMBL4290889,4.56,0,http://www.openphacts.org/units/Nanomolar,3125059,=,1,1,=,,IC50,nM,,27470.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,27.47,C23H31ClN6O4
,,18808320,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCO)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4279549,,CHEMBL4279549,,0,http://www.openphacts.org/units/Nanomolar,3125058,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C23H31FN6O4
,,18808321,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COC(=O)CCN(C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O)C(C)C,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4289730,,CHEMBL4289730,,0,http://www.openphacts.org/units/Nanomolar,3125057,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C24H31ClN6O5
,,18808322,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COC(=O)CCN(C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O)C(C)C,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4281511,,CHEMBL4281511,,0,http://www.openphacts.org/units/Nanomolar,3125056,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C24H31FN6O5
,,18808323,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)NC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4284004,,CHEMBL4284004,5.20,0,http://www.openphacts.org/units/Nanomolar,3125055,=,1,1,=,,IC50,nM,,6330.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,6.33,C20H25ClN6O3
,,18808324,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)NC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4291959,,CHEMBL4291959,4.52,0,http://www.openphacts.org/units/Nanomolar,3125054,=,1,1,=,,IC50,nM,,29980.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,29.98,C20H25FN6O3
,,18808325,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL2169919,,CHEMBL2169919,4.45,0,http://www.openphacts.org/units/Nanomolar,3125053,=,1,1,=,,IC50,nM,,35190.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,35.19,C28H41N7O4
,,18808326,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL1214186,SINEFUNGIN,CHEMBL1214186,,0,http://www.openphacts.org/units/Nanomolar,3125052,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C15H23N7O5
,,18808327,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)NC1CCCCC1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4290103,,CHEMBL4290103,4.91,0,http://www.openphacts.org/units/Nanomolar,3125051,=,1,1,=,,IC50,nM,,12240.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,12.24,C30H43ClN8O4
,,18808328,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)NC(C)(C)C)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4282234,,CHEMBL4282234,4.69,0,http://www.openphacts.org/units/Nanomolar,3125050,=,1,1,=,,IC50,nM,,20610.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,20.61,C28H41ClN8O4
,,18808329,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1cccc(C(F)(F)F)c1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4288845,,CHEMBL4288845,5.34,0,http://www.openphacts.org/units/Nanomolar,3125049,=,1,1,=,,IC50,nM,,4560.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,4.56,C31H36ClF3N8O4
,,18808330,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc(NC(=O)NCCCN(C[C@H]2O[C@@H](n3cnc4c(NCc5cccc(Cl)c5)ncnc43)[C@H](O)[C@@H]2O)C(C)C)cc1,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4289036,,CHEMBL4289036,,0,http://www.openphacts.org/units/Nanomolar,3125046,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C31H39ClN8O5
,,18808331,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,Cc1ccc(NC(=O)NCCCN(C[C@H]2O[C@@H](n3cnc4c(NCc5cccc(Cl)c5)ncnc43)[C@H](O)[C@@H]2O)C(C)C)cc1,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4292671,,CHEMBL4292671,5.24,0,http://www.openphacts.org/units/Nanomolar,3125045,=,1,1,=,,IC50,nM,,5800.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,5.8,C31H39ClN8O4
,,18808332,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1ccc(F)cc1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(Cl)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4280694,,CHEMBL4280694,4.82,0,http://www.openphacts.org/units/Nanomolar,3125044,=,1,1,=,,IC50,nM,,15290.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,15.29,C30H36ClFN8O4
,,18808333,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)NC1CCCCC1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4285257,,CHEMBL4285257,,0,http://www.openphacts.org/units/Nanomolar,3125043,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C30H43FN8O4
,,18808334,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)NC(C)(C)C)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4277301,,CHEMBL4277301,,0,http://www.openphacts.org/units/Nanomolar,3125042,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,50.0,C28H41FN8O4
,,18808335,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1cccc(C(F)(F)F)c1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4284944,,CHEMBL4284944,5.16,0,http://www.openphacts.org/units/Nanomolar,3125041,=,1,1,=,,IC50,nM,,6990.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,6.99,C31H36F4N8O4
,,18808336,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1ccc(C(F)(F)F)cc1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4276996,,CHEMBL4276996,5.19,0,http://www.openphacts.org/units/Nanomolar,3125040,=,1,1,=,,IC50,nM,,6460.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,6.46,C31H36F4N8O4
,,18808337,[],CHEMBL4275448,Antiviral activity against Zika virus SMGC infected in BHK cells assessed as inhibition of virus induced cytopathic effect after 8 days by CellTiter-Glo luminescent cell viability assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(NCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4270631,Eur J Med Chem,2018,,CHEMBL4288329,,CHEMBL4288329,5.18,0,http://www.openphacts.org/units/Nanomolar,3125039,=,1,1,=,,IC50,nM,,6650.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,uM,UO_0000065,,6.65,C34H45FN8O4
